Date,Open,High,Low,Close,Volume,Bitcoin,BTC,Blockchain,Cryptocurrency,Iota
11/12/2017 5:59,15779.17,15967.29,15779.17,15849.96,228.31400000000002,42,52,76,56,52
11/12/2017 6:59,15831.0,16400.0,15822.95,16362.61,639.961,46,56,74,56,51
11/12/2017 7:59,16362.61,16430.45,16126.96,16400.0,512.139,48,55,73,55,51
11/12/2017 8:59,16405.0,16489.0,16301.4,16325.99,900.789,47,50,68,54,47
11/12/2017 9:59,16349.94,16425.02,16257.1,16400.0,415.07300000000004,48,50,71,56,42
11/12/2017 10:59,16400.0,16554.95,16381.0,16529.29,468.853,57,56,80,64,44
11/12/2017 11:59,16529.29,16570.0,16299.99,16304.37,510.591,71,68,86,74,46
11/12/2017 12:59,16304.37,16464.89,16280.0,16369.96,483.675,100,100,92,84,47
11/12/2017 13:59,16369.93,16400.0,15809.19,16190.0,1179.865,87,83,100,80,44
11/12/2017 14:59,16190.0,16540.46,15998.32,16129.99,1376.5720000000001,77,68,86,78,44
11/12/2017 15:59,16129.99,16400.0,16086.0,16296.76,619.071,73,62,91,75,44
11/12/2017 16:59,16296.77,16369.99,16001.11,16191.84,825.056,71,59,87,78,50
11/12/2017 17:59,16209.98,16244.95,16050.0,16201.47,404.366,73,61,90,83,53
11/12/2017 18:59,16201.47,16450.0,16150.05,16438.0,548.1519999999999,76,68,90,87,55
11/12/2017 19:59,16440.11,16900.0,16403.08,16881.02,1247.652,81,70,81,91,48
11/12/2017 20:59,16881.02,17270.0,16781.78,17027.68,1592.271,77,72,76,93,44
11/12/2017 21:59,17027.68,17071.07,16720.0,16951.0,555.729,73,72,72,92,36
11/12/2017 22:59,16950.01,16980.0,16765.0,16765.99,329.13699999999994,72,69,73,92,33
11/12/2017 23:59,16765.0,16890.01,16188.79,16470.0,1051.16,70,69,75,94,32
12/12/2017 0:59,16470.0,16520.52,16250.0,16425.04,446.29400000000004,68,71,77,90,32
12/12/2017 1:59,16425.04,16615.62,16288.23,16600.57,419.425,70,77,75,87,36
12/12/2017 2:59,16600.57,16600.57,16288.23,16288.27,175.042,62,70,73,77,44
12/12/2017 3:59,16288.27,16379.88,15967.29,16145.69,475.566,57,65,76,69,44
12/12/2017 4:59,16159.99,16288.23,15967.29,16069.99,215.949,52,60,77,61,45
12/12/2017 5:59,16069.94,16288.23,15967.29,16288.23,351.51199999999994,50,57,75,58,44
12/12/2017 6:59,16288.23,16451.11,16206.49,16430.0,273.249,47,52,73,53,43
12/12/2017 7:59,16430.0,16647.3,16345.1,16638.03,368.403,51,55,66,53,40
12/12/2017 8:59,16638.63,16726.91,16451.11,16640.0,414.824,50,50,66,54,40
12/12/2017 9:59,16649.21,16750.0,16451.11,16599.99,344.461,52,50,65,54,38
12/12/2017 10:59,16599.99,16644.03,16451.11,16521.03,318.475,52,50,67,60,37
12/12/2017 11:59,16521.03,16700.0,16500.45,16614.0,327.302,52,48,69,62,37
12/12/2017 12:59,16613.96,16720.98,16451.11,16650.03,548.325,51,48,67,65,39
12/12/2017 13:59,16672.98,17255.44,16631.55,17182.67,1243.65,51,45,67,68,40
12/12/2017 14:59,17182.67,17254.0,16914.6,16914.63,919.3919999999999,50,42,66,67,39
12/12/2017 15:59,16914.63,17083.0,16830.45,17055.0,962.9010000000001,50,41,66,69,41
